DiscordId;DiscordUser;WalletAddress;WhitelistRole;HolderScore;WhaleScore;WalletValue;NFTValue;NFTsMinted;NFTsBought;NFTsSold;NFTsFlipped;NFTsFlippedWithProfit
897014790394896444;olric#3015;A8sYFqsDYj3Trm853ANgCCsp38LQrzPqwNEfMgfwWMYQ;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
385433544882913280;001 - Fmochi#4359;9cds7JWipRbhUPs3HbjMCZeJK8TmyndZ3jm2gyT3NPzK;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
864582770541068318;NdoxHan#2572;Ba17QSw5fnMuBLJZTdXfFW8AUTYbmqdYSYHYxVyNwPEu;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
917758536883257354;SteveC#8228;2cfmT3uwy16T2AqCDhu1MRhkaKB5eqt94TvoPxFT52qs;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
828032981733867560;Xervix |TSF#9825;4qU6PiNaaFJvruetEG8quXS9JZK61rS9KpR2bYyamEza;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
902750437197885450;ar#4590;8w3GVin5EGm8nbSdrfiMymKHqUiYy8gtipp4wAzYkjGS;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
722875414468362291;Rogoza#8353;DMeSJrt6qVMxVwfX5GCPRNbA3PSm9UYzpMDT6BLfKT9W;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
784053793666498562;0x_3R#0302;6hmzyhr3ZfVqBAvhWGcXeKjgy6x5pbvddsbWULk7DFJ9;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
758516227038904320;RogerGaming#8220;CGZYCbpS4M21Qko5Mb8NUHSDnhJ2Q156NpjDnuuCmAkg;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
879390041342894120;carl_nft#3444;Dt1dBkqT629DxCWXMUp2kyXjhb4CkjiaWhqAGotqBdNf;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
690600984711266424;UMAK#9176;2VDxhwdfxc55pTPvMnMtGBCFtEU4QkiPYh2BX1FkDajS;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
510054625387479040;Yawloz#7508;GFTYCJzCuQXuzPoZCbVkqVtFBwDdRhQHEe2w6QA36z4Y;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
673794444579045386;TORusweb3#6719;EuSgddsfPspi1kkdnosEcndymiKE998zUqWfKBpDAbG2;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
720910288718921869;grain#5615;3SuVHaumcZ936HKAR2dE4awDJAtnaba1ygxCQc67h6iF;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
203931095488528385;Camargz#5914;BUfheLnEmhTec6JpFS55hbUkvVUvw5xzw3sVqg1NFFe9;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
570411085392511008;Mika#8080;CuNhtffTrQ3tNYSqEZL2pqnznfZAZV1LiKhw7K3HGmNX;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
920161177852596224;JS101#3443;4QqdqwaJsefsXjDdxbeRSMJB5G1DLLpeoAe2zmn3wGm4;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
383119388515237899;Kuki-Ninja#7393;9wu19XQQhpiVnrwwSyGUxrEF83RFU4ohJ5Uq42DYLwUz;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
421511432052408320;NoChill#7121;EwhVXsRyfBY9GmxArjPaoKPgpsCGsuNf56yQ3ihG9Lga;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
747234984926117889;Spike 77#1078;HD4YGTkVvDfMSUWAgW7AQe3d8zoNPq7QBxZSU7uJbVA1;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
264488824321736706;Director Krennic#0921;C3hYj9S6e5cBmgRiSwQxiDuqAG2Aawwzg2YTGjZjmiZH;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
178882268276850688;Hoax#6727;AQtjeTxp7Tm1bK48aWGq357QTyu5gRAdJ1DrjQ561r1A;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
600692406492332037;Nemthys#9910;HfJybgYYjSHyuBP7M5L7hAcEKAx39urJmVm7o1TAVPdi;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
489280620791332865;Maria FragaN✨#2548;B3hFiWQnHKPEkuJJ5AXK7k8zAqKtaSSk7kkcGXxymKzx;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
847689914618871809;Cottoncandy#6155;9inbQdSUXHYfHY7cACQVGoRkqPCNSCapdAx5DFznJ8Qh;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
260322358290546689;Vis#3331;AEftK6JykWyotfUUCjVtbLXphZ9bCqRq1cLVwQiMzAD9;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
356290864340926464;Nostall#2121;6wxyXKi1saziNq3VUMXd9whjrhSiKVmq83oJU3gTwGCJ;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
