DiscordId;DiscordUser;WalletAddress;WhitelistRole;HolderScore;WhaleScore;WalletValue;NFTValue;NFTsMinted;NFTsBought;NFTsSold;NFTsFlipped;NFTsFlippedWithProfit
210574908634300416;Frosty#8580;FX9FaDD4s1guCSETVTndnEqKN4EczeGetNstuxkVK64R;Investor WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
692961438905663539;clmnt#3431;J7R3UeUeAio1H24kvufAKcsm1fNAvLy562DcAfUZywEf;Investor WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
880752187347697724;Ahmett#7717;6R6RZMsS26tfAaZm3hYyfWwqPrMXPNQbvp13AQC8vSY5;Investor WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
891367530634027018;Boomer#7107;A3VFkXXbiDDo9jyHqjyD4kDhnmu7EpMmGaipC9iNhyhK;Investor WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
424539761512939520;TacoPlays#0001;FbfYJCyBy8q7GUyJvEcoi5napjfeixxqb5kgQweyRNZP;Investor WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
88661785850175488;AndyL#5159;GQ98H8pc1HYtRttGWgUJUo1evdWinSK5onjAAxXetWxe;Investor WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
211076201773531136;silentstorm#7080;B2YuEwH1YLsRYLMVRn5rxBoLMeztoL6EsBZdD5hfg2wf;Investor WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
765195327812534334;CryptoKasia#9775;HLaqN87JLLZC4HaPL1eWaYzwzNBx4jiCon6g5v3W3A15;Investor WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
286035068818817025;mlodyjano#3333;GP5cTJux9iDYdLS83gZRwcp6GiXzTzaukN2YzFRdNzff;Investor WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
860521513332637726;STRANGER#0214;DYTwV9Bpux7wwJ7NSAq2EKjfCrUdQAyge8cNxxU4KS8c;Investor WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
314670552474451969;Blacky | MIB#8006;CGRMEGgWRqNmFfjengcnYpCGKnf8bpTs51oib3jKjAsq;Investor WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
731879589097504848;.Yanaberry#2521;2jbQ2XhuVVFJAWzg5fmy8sBPUf662JijUpq4A4joR4Hq;Investor WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
818701008720625704;Ricta#8484;AeT9RSP6McryyaWbKDg6XTuLD43FUBCoSH6VixrJhERs;Investor WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
813762281460334663;Prestige#2641;BKnqRw4TqGookHcRnX7D44GXjS7emHHNULFXVXnstA3c;Investor WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
601430506743136276;Maddmads#5906;ho9vmdt6WjqQn6KcBmnsKVtk1JjGxizUmBihcPT42Pv;Investor WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
550697171071139841;NightRaid#8056;Xze7iCk6PDHH2b3x3BVgnFkDJyMTgAhirdv8SGQqqx3;Investor WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
584824395596431371;abde#8601;EkJNhbKL8gTAknnTtnYEEY9Gs6F33A5bDBP5SwHTsoDr;Investor WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
607237367098769428;Elite#8888;73oPpWhrRRmccEf4z98TbFEDHGr4ajh6CjfMkEjhGzZH;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
753880929310867476;PNLP#6246;CGoU94dYDLZNnrHvkHSvDufq2HfMNMEPmGdYSW7Y8n5V;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
905830760450261102;Jack son#3728;BuVessAwKzrAt2FXSZqwNxHJjah4ekQCBh8TBUhxnXRQ;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
426796899450748935;$pencer#2878;6ncCpD5Nmbrau2T2TS6SRDH9FbZhDe9uRx9FNx991JKp;Entrepreneur WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
