DiscordId;DiscordUser;WalletAddress;WhitelistRole;HolderScore;WhaleScore;WalletValue;NFTValue;NFTsMinted;NFTsBought;NFTsSold;NFTsFlipped;NFTsFlippedWithProfit
201104475384053760;ProfessorP#3803;8z53sLAZmjBCJFSuufY3t5QkrNGpySNUWTiqgT7D9w6F;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
725608185121079318;CharlesSpirit#7350;DXjGeKCNxWEtTtoCLG4m2skWeN75Xc5yTetU2JBE1Aaw;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
620201980257632256;zhekazzzm#0562;BjTm9sejoxXw8BCxSYAsvE5yjBgCdibmSuLvAKosozDq;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
665565372610641920;Anton$42rus | CLUBnika#1929;6xpprEcT1rkqWwpVbCTUWue6jpCrdLZavqHj9PKoZbP3;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
942795951481974815;Raphcom01#5554;5Xa9yDeJ3Peu1zTrobk9STKrbhpnMFkNDGf39tMPWmQA;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
936209623910842369;SerStøph#6969;FqcLkZZziDhtHB1Zoocjw58onzR8oJE5PZATRV8r1R63;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
889384228830212136;ArdangArt#6213;J9Hrewx2StNEYmn38Wt58eaoZVRXPkGNdrqiqczWLFYp;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
710042189983383603;tetsu0808 || halo labs#7290;GYtCFtew2T7cchLFgLKmDeFZs4EM55r6ZAKAqHDMaLRR;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
922366356521902080;joinhtet#7297;9zcL3kUiFzrJNqPT4xZ3EozVrzZa83yAr3ThzzDAxiis;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
912866110699888681;Myothandar#9777;BmExChneeDqygEyYAW2HqnGLSeqXaYV17223LFen5aJK;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
607237367098769428;Elite#8888;73oPpWhrRRmccEf4z98TbFEDHGr4ajh6CjfMkEjhGzZH;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
846199327504072704;jflexzy#9900;42hocL3nVBy36dv1D7mSQYnWXYRv1CznwySYQUCUgVUw;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
365912622849196033;Zurapi | B#2568;6iFPvgjwq8nYKkccEeg2HCJ7ys3b69yaBW9hPhSxmR9K;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
406215819413028864;sirlaw#1886;GaUEp346run4xVLEn3JFtz8GCP7BCMaxpHHqwpQsG8xs;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
920744625780707348;Kingsammy#8515;3kMtFCfep81BigVg231GhJLKWcqrtHrdPMgtUB9cuJgx;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
689084750639661107;Mchine#4084;2VUjQbSsDRgXykBFcEbkHJAoGKtVifsB1VsWxrEuRWzs;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
956287716969050152;The Crown exchange#9324;vJWwr4dscFXyZbcGGFnNQZEXBQZa4nty6hFhG91oC7H;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
942087076164304957;Linn Linn Htet#8828;382MFxPmpu7LbnRNE6nqY9Pifm9ViMTPSQQ9mMXCus1L;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
696471443076284466;Basyrov_Art | FOMO#8679;EMCoRHp1p2eWi6LHLBqWpz6gLxWwyRa3sbwEg9fDvWAE;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
906817394721300550;sabi Big Baller /PGP/💎14#6704;ELGnyJkusH8h7Wy3rTnHNCdXmE7kKfS4nXcG5TWH5Tpc;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
877072539644481547;Jaicha#4480;9cVzMbhZU3E8nguQqCR2wJAqJKMqGYzLCeW1ETJaac9z;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
965936303340404748;Echothat#9788;71y96WHuVYeSGGapi1j3wt3xUVYVPp9izx9bsuM6Zaoe;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
802989906048974849;FATHER'S LOVE#2493;7gAqN1f5B1JN5vHBdxBMKDKcymLFJwTQbDST8uv1VAnM;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
826927664349970543;I MUST BE REGULATED#8040;N1ky3M5MCmuFGY3YZtdogKR2thvhoVKPpD19r2fsvCL;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
967694203670888448;Lwin Kun#2040;8ecACpPXqdJ87fgT1SHYURpUEU22GG3kqSAbaeye4s22;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
831547487470223360;bosco00#0332;5ciQHYN65QwDSPn4TqF9xdSniiFsVgFXdAfK1uVQZcAJ;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
744882901455470612;STARite#5260;9yAAC8X8HJ2coDxJzWimUFv91vNqGD5RpmD4rcuxh9E4;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
895205700953845771;Ishan007[Communi3]#6750;YtufSYN34awZH9fVb5UDPS27Nc6uXaKjrsrQaUawHBF;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
916958958978232371;Morenikejimi#5690;9G6xAu8eiwghQwzEpBkFW47HwCG5aAyCSxGKAZggUK98;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
891222782392819742;aungpyae#8178;7ux8y5y8ASxTowdeg4kjm3FFBcPLd42rM4CeBAsPHpvM;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
806896834714402826;Kane | PMK#6587;3F7dQ7jkgvdT9dNsE9DqWRNx2ECsWLWSLgJz6mHerE69;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
905830760450261102;Jack son#3728;BuVessAwKzrAt2FXSZqwNxHJjah4ekQCBh8TBUhxnXRQ;Tycoon WL;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted;Redacted
